game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo
W (42-16),3,16,26,194,2,42,199,4,4.7,68,5.8,4,8,4,20,13,120,3,0,1,0,16,36,103,0,46,206,1,4.5,82,3.8,4,11,4,21,11,92,0,0,31.0771269992549
W (41-34),1,27,33,374,2,32,173,3,5.4,65,8.4,0,6,0,21,10,90,0,1,1,4,27,50,439,3,26,80,2,3.1,76,6.8,2,5,2,25,6,50,1,3,73.38230156439016
W (27-25),2,16,23,209,1,38,104,3,2.7,61,5.1,1,9,1,20,7,67,0,2,1,4,24,32,242,2,39,132,1,3.4,71,5.3,3,9,3,23,6,49,3,1,87.22905121868786
W (21-19),3,32,47,424,2,36,81,0,2.3,83,6.1,0,6,0,25,5,61,1,2,0,2,18,28,226,1,30,98,0,3.3,58,5.6,3,6,3,16,6,42,1,1,14.50812006668493
L (37-52),2,26,44,293,2,40,180,3,4.5,84,5.6,6,10,6,32,15,158,0,2,0,0,8,14,129,3,39,236,3,6.1,53,6.9,4,13,4,21,8,85,0,0,-4.7901828635032295
L (7-31),1,26,42,268,0,19,56,1,2.9,61,5.3,0,5,0,16,9,74,0,1,0,0,14,23,156,2,41,235,1,5.7,64,6.1,2,15,2,21,3,20,0,0,11.666917621789981
L (22-28),3,28,49,301,0,30,121,1,4.0,79,5.3,3,8,3,25,3,20,1,2,1,2,17,29,214,0,29,117,3,4.0,58,5.7,0,8,0,14,6,56,2,0,21.564383157441576
W (30-23),0,10,20,69,0,57,346,2,6.1,77,5.4,0,23,0,26,9,85,0,0,1,1,18,28,268,2,27,24,1,0.9,55,5.3,2,4,2,18,3,35,1,0,31.545284237307456
L (22-30),1,22,38,282,0,30,94,3,3.1,68,5.5,4,5,4,22,8,69,0,1,0,0,24,44,201,2,39,133,1,3.4,83,4.0,4,7,4,24,9,94,0,0,42.95348184781443
W (27-19),1,12,20,167,1,37,176,3,4.8,57,6.0,0,8,0,15,6,37,0,1,1,3,16,37,209,0,33,140,1,4.2,70,5.0,2,9,2,22,5,45,0,3,87.71018051860457
W (37-27),1,11,26,161,0,38,266,4,7.0,64,6.7,5,18,5,29,6,65,0,1,1,1,23,32,235,3,35,119,0,3.4,67,5.3,3,5,3,22,10,109,0,1,6.8954016843513894
L (17-21),3,23,41,279,1,30,100,1,3.3,71,5.3,2,8,2,21,10,75,2,1,1,0,11,22,163,2,38,134,1,3.5,60,5.0,3,8,3,17,7,63,0,0,18.977019914070492
L (18-28),1,26,44,222,2,25,58,0,2.3,69,4.1,3,4,3,17,3,25,0,1,0,3,13,18,134,1,44,301,3,6.8,62,7.0,0,14,0,20,7,69,0,3,14.188244469402068
W (18-16),0,30,39,345,1,30,66,0,2.2,69,6.0,3,5,3,24,6,51,0,0,1,1,21,36,292,2,33,161,0,4.9,69,6.6,2,11,2,24,11,100,0,1,33.00783001048286
W (37-14),0,9,13,120,2,56,288,3,5.1,69,5.9,0,16,0,21,5,35,0,0,1,2,29,44,256,2,13,41,0,3.2,57,5.2,1,6,1,18,5,40,0,2,38.22675642555399
W (49-7),0,6,6,160,2,40,321,5,8.0,46,10.5,0,13,0,18,3,32,0,0,0,0,21,30,109,0,42,159,1,3.8,72,3.7,2,10,2,17,4,30,0,0,72.54296369774741
W (45-19),2,17,26,235,4,40,268,2,6.7,66,7.6,2,15,2,27,8,88,2,0,1,2,22,44,291,1,26,157,1,6.0,70,6.4,3,9,3,22,16,112,0,2,13.25240193108971
L (21-27),1,21,32,338,3,43,144,0,3.3,75,6.4,1,11,1,26,7,61,0,1,1,0,10,15,161,0,32,130,2,4.1,47,6.2,2,4,2,11,10,78,0,0,-14.142698518816655
L (34-37),0,30,40,285,3,37,146,1,3.9,77,5.6,3,9,3,27,5,55,0,0,0,1,15,21,192,2,33,335,3,10.2,54,9.8,2,10,2,19,3,35,1,0,-7.835543315420497
L (42-45),3,22,35,329,4,30,68,1,2.3,65,6.1,5,4,5,23,6,45,1,2,1,1,26,29,264,3,40,197,3,4.9,69,6.7,1,10,1,23,7,84,1,0,-20.99018949631642
W (31-3),3,18,24,248,0,38,230,3,6.1,62,7.7,2,9,2,20,6,55,3,0,1,3,2,8,25,0,56,193,0,3.4,64,3.4,1,10,1,12,5,48,2,1,5.491584198028704
L (28-34),2,27,48,324,3,28,63,1,2.3,76,5.1,1,4,1,21,6,45,0,2,1,2,18,33,218,3,36,149,1,4.1,69,5.3,1,7,1,20,4,50,0,2,-12.502579351110768
L (34-37),0,17,40,148,1,33,221,3,6.7,73,5.1,1,9,1,19,6,50,0,0,0,2,18,21,243,2,36,109,1,3.0,57,6.2,2,7,2,16,9,74,2,0,11.37054314961275
